add ,refactor ,start ,move ,share ,paus ,ui ,updat ,gps ,center ,DV
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,0,0,8.439356073,0,2.767165832,0,0,0,A
0,0,0,0,4.219678037,0,2.767165832,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,12.9352111,A
0,0,0,0,0,6.145677455,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,6.145677455,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,4.46760555,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,12.65903411,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,6.145677455,0,0,0,0,A
0,0,0,0,4.219678037,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,11.64792915,0,0,0,0,0,0,6.46760555,A
0,0,0,0,0,0,0,0,0,0,B
2.660250628,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,0,4.46760555,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,6.145677455,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,7.765286099,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,7.765286099,0,0,0,2.767165832,0,0,0,A
0,0,3.882643049,0,0,0,5.534331664,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,0,0,6.46760555,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,0,0,0,12.29135491,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,0,0,0,0,0,0,0,6.46760555,B
0,0,0,0,0,0,2.767165832,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,8.301497496,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
2.660250628,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,7.765286099,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,4.46760555,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,4.46760555,0,0,0,0,0,0,A
0,0,0,4.46760555,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,4.46760555,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
5.320501256,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,B
2.660250628,0,0,8.9352111,0,0,2.767165832,0,6.46760555,0,C
0,0,0,0,0,0,5.534331664,0,0,0,A
0,0,0,0,4.219678037,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,4.219678037,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,11.64792915,0,0,0,0,0,0,0,A
0,0,11.64792915,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,4.219678037,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,5.660250628,0,0,0,0,8.301497496,0,0,0,C
0,0,0,0,0,0,5.534331664,0,0,0,C
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,4.46760555,0,0,0,0,6.46760555,0,C
0,0,0,4.46760555,0,0,0,0,0,0,C
0,0,0,4.46760555,0,0,0,0,0,0,C
0,0,0,4.46760555,4.219678037,0,2.767165832,0,0,0,C
0,0,0,4.46760555,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,4.46760555,0,0,C
7.980751884,0,0,0,0,0,5.534331664,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,3.882643049,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,A
0,5.660250628,0,0,4.219678037,0,0,0,0,0,C
0,11.32050126,0,0,0,0,0,0,0,0,B
0,5.660250628,0,0,0,0,2.767165832,0,0,0,C
0,11.32050126,0,4.46760555,0,0,0,0,0,0,C
0,5.660250628,0,4.46760555,0,0,5.534331664,0,0,0,C
0,5.660250628,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,4.219678037,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,3.882643049,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,5.534331664,4.46760555,0,0,C
2.660250628,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,2.767165832,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,6.46760555,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,4.46760555,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,4.219678037,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,11.64792915,0,0,0,0,0,0,0,A
0,0,0,0,0,0,5.534331664,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
2.660250628,0,0,0,0,0,2.767165832,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,4.46760555,0,0,2.767165832,4.46760555,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,3.882643049,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,4.46760555,0,0,B
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,4.46760555,0,0,C
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,7.765286099,0,0,0,0,4.46760555,0,0,A
0,0,0,0,8.439356073,0,2.767165832,4.46760555,0,0,B
2.660250628,0,0,0,4.219678037,0,2.767165832,13.40281665,0,0,A
0,0,0,4.46760555,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,4.46760555,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,B
0,0,7.765286099,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
