npe ,dialog ,crash ,alert ,ad ,icsubcalendardenim ,resolv ,selectsyncedcalendarsmultiaccount ,issu ,layout ,workaround ,result ,modifi ,add ,app ,commit ,allday ,gendermatch ,languag ,race ,condit ,field ,ux ,display ,calendar ,DV
7.331764992,0,0,0,0,0,0,10.73264443,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,5.366322214,0,0,8.392794426,0,0,0,0,0,0,2.118394701,0,11.56271943,11.56271943,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,10.73264443,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,7.813781191,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,10.73264443,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,5.366322214,0,0,8.392794426,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,5.366322214,0,0,8.392794426,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
7.331764992,0,0,0,0,0,0,10.73264443,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,10.73264443,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,8.088788239,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,5.366322214,0,0,8.392794426,0,0,0,0,0,0,2.118394701,0,11.56271943,11.56271943,0,0,0,0,0,0,B
0,8.088788239,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,8.088788239,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,10.73264443,9.562719427,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,10.73264443,9.562719427,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,11.56271943,11.56271943,0,0,0,0,B
0,0,7.813781191,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
7.331764992,0,0,0,0,0,0,10.73264443,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,7.813781191,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,5.781359714,0,0,0,3.558967292,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,11.56271943,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.117934584,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,8.088788239,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56271943,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,5.366322214,4.781359714,0,0,0,0,0,0,0,0,0,0,0,0,A
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,4.196397213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
7.331764992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,A
0,0,11.72067179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,8.392794426,0,0,0,0,0,0,0,0,11.56271943,11.56271943,0,0,0,0,0,0,B
7.331764992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,4.781359714,0,0,0,0,0,0,0,0,0,0,0,3.558967292,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.117934584,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,5.781359714,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.73264443,0,0,4.781359714,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,4.781359714,0,0,0,0,0,0,0,0,0,0,0,0,A
3.665882496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,0,0,0,0,0,0,0,C
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,B
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,4.196397213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,4.044394119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,5.781359714,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,0,C
0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,4.558967292,0,5.781359714,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,2.118394701,0,0,0,0,0,5.781359714,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,B
0,0,0,0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.73264443,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,3.558967292,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
